Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3216.695462000001
ACCEGCATKHNRXUHW,1954.2725603624992
NKCE6GJ5XVJDXNNZ,11812.3191399125
NKCEB8BK3ZXDHDHM,9433.280278787495
TOPEFDXSAHRNPF94,5653.864435749999
ACCE558KZHEPZYMG,9469.5440916125
ACCEAZCVAMFHDPY7,5263.135483037501
NKCDYNY37JPBGBVM,2609.039424112499
NKCEY8KWY33FCUYD,7640.492578412499
RNGE4YPTQYRECV9J,3423.8053887
NKCE88AHBHJZREXH,3904.0288484555363
CLTEJ5ZZGBP4JGGE,8077.660666087501
WATE3NWH5FZWAMDA,8091.633181159015
CAGE53FSFZVFPFHQ,1688.8894917375
PCSEAKVBFFPGCHNZ,3797.259739462502
WATDFFH3KJYBTYGG,7136.507734421517
NKCDWHFQSCHHYZMP,2429.1954882750006
RNGEB2PG3Q5RKDW6,1391.8633005625009
NKCE5UY9HHPZGGUZ,4462.388760074999
KTAEHETW3ZCMFMJR,4143.1616595625
BRAEBBYRVF9MHJHU,7325.738430499199
NKCEAX7HAQ2RJA3Q,10236.319255474998
CRTECN2RQZWBSP9W,4991.2813186
WATDEWZ9UHSEHGZG,9271.6703151875
PTPEYW8HNV6G9YYR,2820.9689636125004
ACCEAMGZRRYVAHDC,4928.703839424998
SRTEHHXG8MUXTGPA,5963.589123530535
SKIE4S4NN4MHYM3Z,5115.036367246519
HMBE7G34YHWPWKYN,7143.086541587499
LLIEGTMFJBD7ZZZM,13888.001276537496
ACCEJGH6JVTM4CBH,867.0531642806249
ACCDQDYBXJ9HZF37,10097.399054399993
RNGE88FRGZCXNKUG,519.0624146831251
NKCE7M3QNNPZDXHQ,10014.07802036107
VLBEGFFDP9H6WG2T,3536.1143106749996
TOPEAFG4YEQSH5TT,2440.042722759018
WATEYAP3K2QQQWDH,5252.500494149997
PCSEBDFUFJWGARNX,10701.059836050003
SWTEGXQFZY95SKG7,4857.413890012502
BRAEGJFXSM9ZQ6SK,6810.900589014551
CAGE6FYKP34GA4GF,7562.508030900001
HMBEJCMH78VJF3M8,4371.2382406375
HIFEB7J3GSTVN5XJ,10628.736597700004
PBXE6ZHNGZREWWHR,4664.0306934875
PCSEAKVBNXFGZBKB,6807.324931600003
BRAEBBMQQNZ9RZWR,5786.432479850001
ACCEGKFCXHZZH44S,740.2070189512499
SHODXQRRGKZ74U9M,4316.891424999999
DREE2Y6DVEKVVQQS,4503.585711662499
PBXE8ZHHG5Y525BT,6853.939571921519
CTTEH9FXZHGFKUA3,7979.374557175004
